Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2018-02-09,2396.78,2409.64,2375.41,2382.79,32361862
2018-02-12,2402.18,2430.88,2402.18,2414.41,15319638
2018-02-13,2417.65,2431.67,2416.23,2431.67,19282376
2018-02-14,2439.12,2449.79,2413.79,2449.79,19553217
2018-02-15,2461.15,2473.58,2423.57,2423.57,17931321
2018-02-16,2445.4,2448.61,2396.54,2406.96,13445801
2018-02-19,2409.93,2420.91,2399.39,2408.49,7388012
2018-02-20,2404.56,2415.33,2392.16,2413.23,7938083
2018-02-21,2409.27,2411.07,2392.71,2405.47,18149909
2018-02-22,2389.87,2416.42,2372.06,2410.69,26234283
2018-02-23,2412.41,2427.26,2393.61,2406.11,16006759
2018-02-26,2418.02,2429.68,2403.09,2408.63,11836372
2018-02-27,2417.07,2429.65,2411.49,2421.51,23939840
2018-02-28,2410.71,2410.71,2364.32,2364.32,34958242
2018-03-01,2361.73,2365.51,2316.63,2334.96,30069522
2018-03-02,2327.98,2330.15,2298.69,2314.23,23190408
2018-03-05,2303.1,2330.1,2296.48,2330.1,14018445
2018-03-06,2344.54,2351.07,2331.3,2339.51,18832716
2018-03-07,2327.37,2363.38,2317.42,2359.57,25345728
2018-03-08,2362.53,2362.53,2320.21,2322.09,23039122
2018-03-09,2322.03,2354.54,2295.87,2354.54,23878302
2018-03-12,2362.62,2380.48,2359.56,2378.72,17165272
2018-03-13,2379.28,2380.12,2349.35,2353.02,23987095
2018-03-14,2353.74,2355.06,2332.48,2335.97,28553855
2018-03-15,2343.78,2354.45,2319.47,2321.87,21050176
2018-03-16,2320.19,2324.41,2280.75,2285.08,62261625
2018-03-19,2285.14,2291,2248.53,2248.53,16195571
2018-03-20,2250.26,2278.69,2237.96,2272.09,22177164
2018-03-21,2268.87,2322.94,2268.87,2320.77,26436072
2018-03-22,2313.07,2329.54,2266.96,2274.1,28591145
2018-03-23,2254.88,2265.16,2230.87,2257.22,22170863
2018-03-26,2260.83,2270.45,2238.74,2240.65,16786155
2018-03-27,2258.98,2283.33,2246.32,2246.32,19027476
2018-03-28,2238.85,2238.85,2192.91,2203.7,28633261
2018-03-29,2215.94,2227.06,2210.26,2210.38,17310444
2018-04-03,2211.17,2249.4,2199.53,2239.15,18921365
2018-04-04,2238.25,2238.25,2197.99,2200.99,20729188
2018-04-05,2222.86,2247.25,2222.86,2243.58,16919528
2018-04-06,2244.33,2268.22,2231.61,2258.8,16916600
2018-04-09,2261.72,2288.2,2248.23,2262.16,23026883
2018-04-10,2280.21,2287.35,2253.65,2274.81,30394054
2018-04-11,2274.22,2287.53,2254.2,2271.93,25202177
2018-04-12,2270.78,2310.67,2267.99,2306.44,21914999
2018-04-13,2310.75,2321.97,2304.72,2310.32,18521659
2018-04-16,2311.13,2313.96,2291.08,2300.2,10682603
2018-04-17,2304.58,2310.61,2291.39,2307.95,16627257
2018-04-18,2306.43,2316.06,2293.11,2315.5,20963469
2018-04-19,2310.94,2341.94,2308.03,2324.73,17008390
2018-04-20,2322.32,2334.22,2298.2,2298.2,21450260
2018-04-23,2299.31,2309.34,2289.68,2291.59,17634832
2018-04-24,2296.24,2315.26,2269.06,2269.06,20941112
2018-04-25,2266.88,2276.97,2253.15,2257,20466343
2018-04-26,2257.11,2284.31,2253.3,2283.15,18865261
2018-04-27,2286.49,2291.15,2271.05,2276.41,16392986
2018-04-30,2277.25,2298.23,2277.11,2291.87,12114602
2018-05-02,2291.87,2306.05,2284.35,2291.92,15073914
2018-05-04,2280.5,2280.5,2227.94,2233.35,18285048
2018-05-07,2242.8,2251.42,2213.06,2214.36,11497852
2018-05-08,2215.62,2236.4,2210.68,2236.4,26740130
2018-05-09,2236.49,2282,2236.49,2281.12,22327696
2018-05-10,2292.11,2311.55,2279.41,2302.71,26545502
2018-05-11,2303.97,2329.36,2299.44,2329.36,16771590
2018-05-14,2328.58,2333.07,2308.97,2321.09,15057691
2018-05-15,2311.71,2311.71,2273.5,2276.45,37033002
2018-05-16,2278.96,2278.96,2254.88,2275.91,21012834
2018-05-17,2269.54,2280.22,2253.6,2255.78,23789484
2018-05-18,2256.15,2268.61,2222.17,2230.32,21799223
2018-05-21,2231.47,2272.61,2231.47,2268.39,16848588
2018-05-22,2267.88,2269.15,2237.66,2248.71,19612175
2018-05-23,2242.19,2242.19,2200.81,2209.32,28548637
2018-05-24,2212.23,2241.43,2208.72,2213.26,30163221
2018-05-25,2216.49,2226,2196.02,2213.24,29693344
2018-05-28,2214.87,2232.88,2204.55,2217.87,12348420
2018-05-29,2208.65,2208.65,2161.35,2191.95,36309856
2018-05-30,2186.58,2186.58,2151.5,2157.07,159374900
2018-06-01,2158,2190.26,2144.73,2190.26,30134367
2018-06-04,2198.46,2221.05,2198.35,2210.1,20707694
2018-06-05,2217.1,2255.95,2197.38,2255.95,24148980
2018-06-06,2259.34,2266.11,2247.02,2256.67,23621089
2018-06-07,2267.32,2287.02,2260.17,2270.75,24576734
2018-06-08,2260.53,2260.53,2244.42,2250.06,17546792
2018-06-11,2259.61,2266.29,2229.68,2234.52,13890412
2018-06-12,2237.53,2256.63,2235.84,2252.39,17687950
2018-06-13,2256.86,2256.86,2227.14,2238.94,23765149
2018-06-14,2232.51,2247.99,2219.84,2238.39,18220100
2018-06-15,2240.09,2245.12,2203.01,2203.01,47615526
2018-06-18,2203.75,2209.5,2146.34,2150.98,15522433
2018-06-19,2137.66,2137.66,2108.1,2120.75,23457249
2018-06-20,2126.96,2176.46,2126.96,2154.18,16667292
2018-06-21,2159.39,2167.56,2127.92,2150.91,19893957
2018-06-22,2158.13,2174.15,2155.02,2162.88,21100094
2018-06-25,2154.93,2177.65,2149.03,2155.9,18592500
2018-06-26,2156.24,2174.11,2151.81,2153.4,18245830
2018-06-27,2149.33,2154.87,2129.8,2143.25,19418575
2018-06-28,2141.71,2141.71,2096.93,2098.75,19639940
2018-06-29,2111.05,2135.47,2111.05,2135.47,21960104
2018-07-02,2119.7,2125.11,2097.76,2119.31,15836242
2018-07-03,2125.36,2162.03,2123.69,2160.24,12363487
